loc_ent_id,topostext_id
0,380237SAca
1,419125LPal
2,419125LEsq
3,419125SCap
4,-
5,-
6,-
7,-
8,419125PRom
9,-
10,352248LIda
11,-
12,-
13,419125PRom
14,-
15,-
16,-
17,-
18,-
19,-
20,-
21,-
22,-
23,-
24,-
25,-
26,-
27,-
28,-
29,-
30,-
31,-
32,-
33,-
34,-
35,-
36,-
37,-
38,-
39,-
40,-
41,-
42,-
43,-
44,-
45,-
46,-
47,380236ASSB
48,-
49,130350REth
50,271307REgy
51,419125PRom
52,446109UMut
53,-
54,-
55,411291WBos
56,271307REgy
57,435167RDal
58,-
59,328219PCyr
60,-
61,-
62,-
63,-
64,-
65,-
66,-
67,-
68,-
69,-
70,-
71,-
72,-
73,-
74,-
75,-
76,-
77,-
78,-
79,-
80,-
81,-
82,-
83,-
84,-
85,-
86,-
87,-
88,-
89,-
90,-
91,432030UNar
92,-
93,418123UOst
94,455049UVie
95,271307REgy
96,-
97,-
98,-
99,-
100,-
101,406163RIta
102,435335WPon
103,-
104,-
105,-
106,-
107,-
108,-
109,-
110,-
111,-
112,-
113,-
114,-
115,-
116,-
117,435335WPon
118,-
119,-
120,-
121,-
122,-
123,-
124,271307REgy
125,406163RIta
126,406163RIta
127,419125PRom
128,-
129,419125PRom
130,407145PPom
131,430105RTyr
132,-
133,427121UVol
134,430105RTyr
135,430105RTyr
136,427121UVol
137,-
138,-
139,-
140,-
141,-
142,-
143,-
144,-
145,-
146,-
147,419125SJuM
148,419125PRom
149,406163RIta
150,413133UTar
151,419125SFer
152,404160RLeu
153,409153UCom
154,426124UAme
155,428124UTud
156,-
157,-
158,-
159,-
160,-
161,403266UAig
162,410265RThr
163,402264PAby
164,-
165,402233UPot
166,-
167,406163RIta
168,382162PLoc
169,-
170,364282IRho
171,371153PSyr
172,394230LPel
173,441073LAlp
174,-
175,365-063PGad
176,-
177,-
178,-
179,-
180,-
181,-
182,475310RSky
183,-
184,400516WHyr
185,-
186,-
187,-
188,-
189,-
190,460370WMai
191,-
192,365-063PGad
193,350000RMau
194,369103PCar
195,365-063PGad
196,280400RAra
197,-
198,-
199,365-063PGad
200,-
201,130350REth
202,-
203,-
204,-
205,-
206,-
207,-
208,-
209,-
210,-
211,-
212,195372RTro
213,-
214,-
215,-
216,271307REgy
217,406163RIta
218,-
219,312299PAle
220,-
221,364282IRho
222,435335WPon
223,-
224,364282IRho
225,312299PAle
226,280400RAra
227,169337UMer
228,-
229,-
230,362440UArb
231,376145RSic
232,-
233,-
234,411146RCam
235,397443RArm
236,-
237,-
238,-
239,380227PSik
240,378214PEli
241,271307REgy
242,419125PRom
243,436135PAnc
244,406163RIta
