topostext_id,trismegistos_id
380237SAca,364
419125LPal,42746
419125LEsq,7223
419125SCap,42807
419125PRom,2058
352248LIda,33311
380236ASSB,37803
130350REth,51
271307REgy,49
446109UMut,5846
411291WBos,61002
435167RDal,11624
328219PCyr,1201
432030UNar,20422
418123UOst,2988
455049UVie,11826
406163RIta,932
435335WPon,41598
407145PPom,2788
430105RTyr,13603
427121UVol,30863
419125SJuM,2058
413133UTar,32551
419125SFer,2058
404160RLeu,5504
409153UCom,14459
426124UAme,11849
428124UTud,14363
403266UAig,58773
410265RThr,2414
402264PAby,32854
402233UPot,12097
382162PLoc,33081
364282IRho,2057
371153PSyr,2210
394230LPel,38160
441073LAlp,42777
365-063PGad,13580
475310RSky,7209
400516WHyr,42258
460370WMai,12371
350000RMau,3104
369103PCar,484
280400RAra,281
195372RTro,2481
312299PAle,100
169337UMer,3460
362440UArb,13697
376145RSic,2132
411146RCam,481
397443RArm,42675
380227PSik,2135
378214PEli,37866
436135PAnc,3362
241329USye,2207
300740RInd,903
239355UBer,416
191373UPto,3190
195390WEry,3632
312301WNil,3943
530-15IBri,3232
000000UThu,19731
371224PSpa,2181
370223LTay,-
425136LApe,42942
408142PNea,2676
432121WTra,45433
383213IEch,-
383211WAch,40839
312299IPha,1752
412131LKir,41840
392210PAmb,2778
379236HPei,3182
379273PEph,648
379274SEph,51942
298313PMem,1344
400262UIli,3681
376275WMae,11989
374253PDel,542
364258PAna,33235
367244PMel,15751
399253ILem,1231
402264WHel,3621
405276IHal,56105
381270PLeb,3631
382268PTeo,2314
372248RKyk,11320
364255PThe,2387
365253IThe,33236
363253IHie,-
385150IAio,22266
352252IKre,527
408139IPit,23501
350330RCyp,528
355390RSyr,2211
385239IEub,672
384233RBoi,446
388233IAta,37857
405285IBes,56104
405295RBit,440
393260PAnt,58780
392261ILes,1242
370274PHal,732
371272UMyn,1401
375273PMil,1375
376274IHyb,60942
397227RMag,3576
376232PEpi,650
403195UOri,15816
388210RAka,37
390210WAmb,-
382219RAch,38
382226WCor,41974
408280WPro,47799
387207PLeu,1246
383218LAnt,-
370287RKar,483
386275LSip,60948
329357UGam,58995
335354RPho,1789
381222PBou,-
376243IKeo,1032
381150PTyn,22350
380235PEle,10345
411139USin,32437
408141PDik,3189
379291PHie,12396
385225SDel,543
419127UGab,32471
424129URea,10929
425123WVad,61100
385280RLyd,1269
418196HNym,61122
347326PPal,1565
348326SAPa,1565
397263UNea,34749
399263RTro,2478
378284UHar,58962
395263UAss,3513
254683WInd,15640
391171PCro,33075
365295RLyc,1268
415156UArg,14256
420124UVei,14349
418127UTus,32566
420126UCru,14042
371101UUti,7796
314186WSyr,41754
379153PTau,22322
374-60WBae,43648
374000UHis,26250
382156PMes,3578
382152PMyl,61073
420135WFuc,43657
45891UCom,30807
452091WTic,42407
437046WRho,13625
465066WLem,42377
361360WOro,47885
371153WAre,61069
376215WAlp,13584
376216SOly,1495
375222RPel,1659
379291WLyc,42837
377227WEra,-
374229RArg,300
346437WTig,13138
380237PAth,364
379237DPha,1731
458134UAqu,3327
315355WAsp,17357
316353UIud,936
404176UMan,14273
425127WVel,-
430135RPic,14405
431423RCol,33638
406144USur,14448
408141PBai,32453
412138WLir,46798
362304IChe,60878
349359PAra,4878
437104UPis,11855
429110UVet,14355
415138UCas,14453
379225PSty,37706
375223RArk,286
395208SDod,15781
405195RIll,900
292255SAmm,149
450120WEri,42384
398261ITen,7518
423124UFal,14348
385233WMel,-
